LOC_Os01g04750	RAV	Y	M06692,M01648,M06693,M09748,M09749
LOC_Os01g04800	RAV	Y	M06692,M01648,M06693,M09748,M09749
LOC_Os05g47650	RAV	Y	M06692,M01648,M06693,M09748,M09749
LOC_Os01g49830	RAV	Y	M06692,M01648,M06693,M09748,M09749
LOC_Os01g01430	NAC	N	
LOC_Os01g01470	NAC	Y	M07160,M07232,M00970,M07159,M07233
LOC_Os01g01600	bHLH	N	
LOC_Os01g01840	bHLH	N	
LOC_Os01g01870	bHLH	N	
LOC_Os01g02110	bHLH	N	
LOC_Os01g03890	LBD	N	
LOC_Os01g06640	bHLH	N	
LOC_Os01g07480	LBD	Y	M02261,M02262,M06955,M06966
LOC_Os01g07880	bZIP	N	
LOC_Os01g08710	WRKY	Y	M07383,M07386,M07394,M07398,M07407,M07421,M07425,M07427,M07428,M00898,M00899,M00982,M01089,M02547,M02549,M02550,M02555,M02556,M02559,M02562,M02564,M02565,M07374,M07384,M07385,M07393,M07397,M07406,M07415,M07420,M07424,M07426,M07429
LOC_Os01g09080	WRKY	Y	M07378,M07379,M07403,M07405,M07409,M07417,M00732,M00900,M02548,M02551,M02560,M07377,M07380,M07402,M07404,M07408,M07416
LOC_Os01g09100	WRKY	Y	M07398,M07407,M07425,M07428,M00899,M00982,M01089,M01325,M02547,M02556,M02564,M02565,M02568,M07374,M07397,M07406,M07424,M07429
LOC_Os01g09550	NAC	Y	M01290,M07167,M07222,M01293,M07168,M07221,M07223
LOC_Os01g09720	Dof	N	
LOC_Os01g09900	bHLH	N	
LOC_Os01g09930	bHLH	N	
LOC_Os01g09940	bHLH	N	
LOC_Os01g09990	bHLH	N	
LOC_Os01g11350	bZIP	N	
LOC_Os01g11550	TCP	N	
LOC_Os01g11910	bHLH	Y	M01128
LOC_Os01g13460	bHLH	N	
LOC_Os01g13540	Nin-like	Y	M07248,M07251
LOC_Os01g14030	LBD	N	
LOC_Os01g14420	Nin-like	N	
LOC_Os01g14440	WRKY	N	
LOC_Os01g14720	GeBP	N	
LOC_Os01g15640	NAC	N	
LOC_Os01g15900	Dof	Y	M06830,M06832,M06834,M06836,M06838,M06840,M06842,M06844,M06848,M06850,M06853,M06855,M06858,M06860,M06862,M06864,M06866,M06869,M00862,M01062,M01063,M01212,M01213,M01214,M01215,M01216,M01217,M01218,M01219,M01220,M01221,M01222,M01223,M01224,M01938,M01939,M01940,M01942,M01943,M01944,M01945,M01946,M01947,M01948,M01949,M01950,M01951,M01952,M01953,M01954,M01955,M01956,M01957,M06829,M06831,M06833,M06835,M06837,M06839,M06841,M06843,M06847,M06849,M06851,M06852,M06854,M06857,M06859,M06861,M06863,M06865,M06867,M06868,M10436,M10438,M10439,M10440
LOC_Os01g17000	Dof	Y	M06830,M06832,M06834,M06836,M06838,M06840,M06842,M06844,M06848,M06850,M06853,M06855,M06858,M06860,M06862,M06864,M06866,M06869,M00862,M01062,M01063,M01212,M01213,M01214,M01215,M01216,M01217,M01218,M01219,M01220,M01221,M01222,M01223,M01224,M01938,M01939,M01940,M01942,M01943,M01944,M01945,M01946,M01947,M01948,M01949,M01950,M01951,M01952,M01953,M01954,M01955,M01956,M01957,M06829,M06831,M06833,M06835,M06837,M06839,M06841,M06843,M06847,M06849,M06851,M06852,M06854,M06857,M06859,M06861,M06863,M06865,M06867,M06868,M10436,M10438,M10439,M10440
LOC_Os01g17260	bZIP	Y	M01155,M06749,M06774,M06785,M00856,M01053,M01055,M01780,M01784,M01785,M06748,M06773,M06786,M06787
