Zm00001eb007390	AP2	N	
Zm00001eb247080	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb415010	AP2	N	
Zm00001eb195920	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb356440	AP2	Y	M06623,M09705,M02647,M06622
Zm00001eb355240	AP2	Y	M00845
Zm00001eb254860	AP2	N	
Zm00001eb265610	AP2	Y	M00851,M08402,M00845
Zm00001eb062460	AP2	Y	M00845
Zm00001eb093560	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb303820	AP2	Y	M00845
Zm00001eb377180	AP2	N	
Zm00001eb005740	AP2	N	
Zm00001eb067970	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb303810	AP2	Y	M00845
Zm00001eb068520	AP2	Y	M00845
Zm00001eb007400	AP2	N	
Zm00001eb150000	AP2	N	
Zm00001eb389400	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb007410	AP2	N	
Zm00001eb007420	AP2	N	
Zm00001eb432100	AP2	N	
Zm00001eb067980	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb007430	AP2	N	
Zm00001eb117840	AP2	N	
Zm00001eb287100	AP2	N	
Zm00001eb117830	AP2	N	
Zm00001eb015020	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb387280	AP2	Y	M00845
Zm00001eb144510	AP2	Y	M06622,M06688,M06623,M02647,M09705,M06689
Zm00001eb133000	ARF	Y	M06714,M00852
Zm00001eb182260	ARF	Y	MA1687.1,M06714,M00852
Zm00001eb045640	ARF	Y	M06708
Zm00001eb224680	ARF	Y	M01697,MA1689.1
Zm00001eb185290	ARF	Y	M06708
Zm00001eb434380	ARF	N	
Zm00001eb363810	ARF	Y	MA1690.1,M06714,M00852
Zm00001eb225570	ARF	Y	M06708
Zm00001eb035640	ARF	Y	M01697,M06701
Zm00001eb370810	ARF	Y	M06714,M00852
