# enricher v3.3.1
# Feature file:  miniexExample_featureFileGO.out
# Gene set file: miniexExample_setFileRegulons.out
# Input: n_gen=1548,  n_set=61, n_ftr=2392
# Options: min-hits=2 fdr=0.05 find-depleted=0
#          min-genes=1 max-genes=1548
#          min-information-content=0 max-information-content=1
# Background: 4999 genes used in background (from background file 'miniexExample_expressedGenes.txt')
set_id	ftr_id	p-val	q-val	enr_fold	set_size	ftr_size	ftr_ic	n_hits	hits
AT1G08010_Cluster_11	GO:0016043	0.000424024	0.00146155	3.31739	148	112	0.357566	11	AT3G15950,AT3G05500,AT5G02260,AT5G65810,AT5G66460,AT2G20370,AT5G44070,AT1G20696,AT5G42020,AT2G22770,AT4G14455
AT1G08010_Cluster_11	GO:0022414	3.18484e-06	2.16333e-05	4.05324	148	125	0.342614	15	AT2G03120,AT5G66460,AT2G23630,AT4G37590,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT3G04080,AT2G33790,AT1G29160,AT1G18390,AT2G39770,AT5G18480,AT4G14455
AT1G08010_Cluster_11	GO:0051301	0.0363144	0.0492259	4.05324	148	25	0.561743	3	AT1G80370,AT2G39770,AT4G30080
AT1G08010_Cluster_11	GO:0071840	0.000143005	0.0005873	3.27688	148	134	0.333148	13	AT3G15950,AT3G05500,AT1G33280,AT5G02260,AT5G65810,AT5G66460,AT2G20370,AT5G44070,AT1G20696,AT4G14940,AT5G42020,AT2G22770,AT4G14455
AT1G08010_Cluster_11	GO:0003006	3.15101e-05	0.00016058	3.78536	148	116	0.352788	13	AT5G66460,AT2G23630,AT4G37590,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT1G29160,AT1G18390,AT2G39770,AT5G18480,AT4G14455
AT1G08010_Cluster_11	GO:0007275	8.4501e-09	1.06299e-07	3.82381	148	212	0.270689	24	AT1G33280,AT5G51310,AT5G65810,AT2G03120,AT5G66460,AT2G23630,AT4G37590,AT3G47710,AT3G62420,AT3G15210,AT3G19580,AT1G80370,AT2G38120,AT2G33790,AT5G42020,AT2G30130,AT1G29160,AT5G37600,AT1G18390,AT2G39770,AT4G30080,AT1G30650,AT5G18480,AT1G22190
AT1G08010_Cluster_11	GO:0009791	2.59266e-06	1.81558e-05	4.11915	148	123	0.34481	15	AT5G66460,AT2G23630,AT4G37590,AT3G47710,AT3G62420,AT3G15210,AT3G19580,AT1G80370,AT2G38120,AT2G33790,AT1G29160,AT1G18390,AT2G39770,AT1G30650,AT1G22190
AT1G08010_Cluster_11	GO:0010154	0.00162384	0.00430828	4.00744	148	59	0.444834	7	AT5G66460,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT1G29160
AT1G08010_Cluster_11	GO:0022622	0.027672	0.039613	2.91181	148	58	0.447162	5	AT1G33280,AT5G51310,AT2G38120,AT2G33790,AT4G30080
AT1G08010_Cluster_11	GO:0032501	3.03901e-09	4.22108e-08	3.73703	148	235	0.256665	26	AT1G33280,AT5G51310,AT5G65810,AT2G03120,AT5G66460,AT2G23630,AT4G37590,AT3G47710,AT3G62420,AT3G15210,AT3G19580,AT1G80370,AT2G38120,AT3G04080,AT2G33790,AT5G42020,AT2G30130,AT1G29160,AT5G37600,AT1G18390,AT2G39770,AT4G30080,AT1G30650,AT5G18480,AT1G22190,AT4G14455
AT1G08010_Cluster_11	GO:0032502	2.6505e-13	9.00186e-12	4.30364	148	259	0.243425	33	AT3G05500,AT1G33280,AT5G02260,AT5G51310,AT5G65810,AT2G03120,AT5G66460,AT2G23630,AT2G20370,AT4G37590,AT1G17060,AT3G47710,AT3G62420,AT3G15210,AT3G19580,AT1G80370,AT2G38120,AT2G33790,AT4G14940,AT2G21045,AT5G42020,AT2G30130,AT1G29160,AT5G37600,AT1G18390,AT2G39770,AT1G50430,AT2G40470,AT4G30080,AT1G30650,AT5G18480,AT1G22190,AT4G14455
AT1G08010_Cluster_11	GO:0048316	0.00636238	0.0125111	3.55548	148	57	0.449529	6	AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT1G29160
AT1G08010_Cluster_11	GO:0048364	0.027672	0.039613	2.91181	148	58	0.447162	5	AT1G33280,AT5G51310,AT2G38120,AT2G33790,AT4G30080
AT1G08010_Cluster_11	GO:0048367	0.0137524	0.0227775	3.02481	148	67	0.427522	6	AT5G65810,AT2G23630,AT4G37590,AT2G30130,AT5G37600,AT2G39770
AT1G08010_Cluster_11	GO:0048608	0.000107011	0.000458261	3.87028	148	96	0.378554	11	AT5G66460,AT2G23630,AT4G37590,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT1G29160,AT1G18390,AT2G39770
AT1G08010_Cluster_11	GO:0048731	5.72549e-06	3.63758e-05	3.48006	148	165	0.304814	17	AT1G33280,AT5G51310,AT5G65810,AT5G66460,AT2G23630,AT4G37590,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT2G30130,AT1G29160,AT5G37600,AT1G18390,AT2G39770,AT4G30080
AT1G08010_Cluster_11	GO:0048856	1.52011e-11	3.53522e-10	4.08593	148	248	0.249334	30	AT1G33280,AT5G02260,AT5G51310,AT5G65810,AT2G03120,AT5G66460,AT2G23630,AT2G20370,AT4G37590,AT1G17060,AT3G47710,AT3G62420,AT3G15210,AT3G19580,AT1G80370,AT2G38120,AT2G33790,AT4G14940,AT5G42020,AT2G30130,AT1G29160,AT5G37600,AT1G18390,AT2G39770,AT1G50430,AT4G30080,AT1G30650,AT5G18480,AT1G22190,AT4G14455
AT1G08010_Cluster_11	GO:0061458	0.000107011	0.000458261	3.87028	148	96	0.378554	11	AT5G66460,AT2G23630,AT4G37590,AT3G62420,AT3G15210,AT3G19580,AT2G38120,AT2G33790,AT1G29160,AT1G18390,AT2G39770
AT1G08010_Cluster_11	GO:0099402	0.000621722	0.00199359	3.41182	148	99	0.374364	10	AT1G33280,AT5G51310,AT5G65810,AT2G23630,AT2G38120,AT2G33790,AT2G30130,AT5G37600,AT2G39770,AT4G30080
AT1G08010_Cluster_11	GO:0001666	1.36023e-06	1.02068e-05	7.7947	148	39	0.501198	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0006950	1.20764e-08	1.46695e-07	3.29532	148	287	0.229449	28	AT3G05500,AT1G08930,AT3G16460,AT3G60520,AT4G02330,AT5G44070,AT3G51920,AT3G16450,AT3G62420,AT3G15210,AT2G35930,AT3G19580,AT3G52800,AT4G12720,AT1G45145,AT1G78850,AT3G46080,AT5G42020,AT5G15130,AT1G01720,AT1G18390,AT2G39770,AT2G22500,AT3G62600,AT1G30650,AT1G23710,AT5G56980,AT1G22190
AT1G08010_Cluster_11	GO:0007154	4.36163e-05	0.000211324	3.93519	148	103	0.368971	12	AT2G20370,AT3G51920,AT3G62420,AT3G15210,AT5G06860,AT4G12720,AT3G18040,AT3G04080,AT4G14940,AT1G01720,AT1G18390,AT3G62600
AT1G08010_Cluster_11	GO:0007165	0.00017798	0.00070589	3.97377	148	85	0.395123	10	AT2G20370,AT3G51920,AT3G15210,AT5G06860,AT4G12720,AT3G18040,AT3G04080,AT4G14940,AT1G01720,AT3G62600
AT1G08010_Cluster_11	GO:0009628	2.96815e-12	7.87596e-11	4.34897	148	233	0.257829	30	AT3G05500,AT1G08930,AT3G16460,AT5G48560,AT3G60520,AT4G02330,AT4G37590,AT1G17060,AT3G47710,AT3G51920,AT3G16450,AT2G45400,AT3G62420,AT3G15210,AT2G35930,AT3G19580,AT2G26710,AT3G52800,AT4G12720,AT2G38120,AT1G78850,AT3G46080,AT5G42020,AT1G01720,AT1G18390,AT2G39770,AT2G22500,AT1G30650,AT1G23710,AT1G22190
AT1G08010_Cluster_11	GO:0009719	5.88898e-06	3.73086e-05	3.65157	148	148	0.319618	16	AT1G08930,AT4G02330,AT3G51920,AT3G15210,AT3G19580,AT2G26710,AT2G38120,AT3G18040,AT4G14940,AT1G04610,AT1G01720,AT1G18390,AT2G39770,AT4G30080,AT3G23030,AT5G56980
AT1G08010_Cluster_11	GO:0009725	4.92571e-06	3.18267e-05	3.70159	148	146	0.321471	16	AT1G08930,AT4G02330,AT3G51920,AT3G15210,AT3G19580,AT2G26710,AT2G38120,AT3G18040,AT4G14940,AT1G04610,AT1G01720,AT1G18390,AT2G39770,AT4G30080,AT3G23030,AT5G56980
AT1G08010_Cluster_11	GO:0009737	0.00471189	0.00986358	3.33013	148	71	0.419627	7	AT1G08930,AT3G51920,AT3G15210,AT3G19580,AT3G18040,AT1G01720,AT1G18390
AT1G08010_Cluster_11	GO:0009968	0.0273419	0.0392828	7.50601	148	9	0.700843	2	AT3G15210,AT1G01720
AT1G08010_Cluster_11	GO:0010033	5.48027e-08	5.66013e-07	3.47918	148	233	0.257829	24	AT3G05500,AT1G08930,AT4G02330,AT2G20370,AT5G44070,AT3G51920,AT3G15210,AT2G35930,AT3G19580,AT2G26710,AT3G52800,AT2G38120,AT3G18040,AT4G14940,AT1G05560,AT1G04610,AT3G46080,AT1G01720,AT1G18390,AT2G39770,AT4G30080,AT3G23030,AT5G56980,AT1G22190
AT1G08010_Cluster_11	GO:0010648	0.0273419	0.0392828	7.50601	148	9	0.700843	2	AT3G15210,AT1G01720
AT1G08010_Cluster_11	GO:0023052	0.00019636	0.000768649	3.92756	148	86	0.393531	10	AT2G20370,AT3G51920,AT3G15210,AT5G06860,AT4G12720,AT3G18040,AT3G04080,AT4G14940,AT1G01720,AT3G62600
AT1G08010_Cluster_11	GO:0023057	0.0273419	0.0392828	7.50601	148	9	0.700843	2	AT3G15210,AT1G01720
AT1G08010_Cluster_11	GO:0033554	1.22875e-06	9.33849e-06	5.04714	148	87	0.391957	13	AT3G60520,AT5G44070,AT3G62420,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT5G42020,AT1G01720,AT1G18390,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0033993	0.000109233	0.000466584	3.58694	148	113	0.356356	12	AT1G08930,AT4G02330,AT3G51920,AT3G15210,AT3G19580,AT2G26710,AT3G18040,AT4G14940,AT1G01720,AT1G18390,AT2G39770,AT5G56980
AT1G08010_Cluster_11	GO:0036293	1.71126e-06	1.25054e-05	7.59983	148	40	0.497751	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0036294	1.36023e-06	1.02068e-05	7.7947	148	39	0.501198	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0042221	7.30239e-13	2.20165e-11	3.71949	148	336	0.207987	37	AT3G05500,AT1G08930,AT3G60520,AT4G02330,AT2G20370,AT5G44070,AT3G51920,AT3G16450,AT3G15210,AT2G35930,AT1G16150,AT3G19580,AT2G26710,AT3G52800,AT4G12720,AT2G38120,AT3G18040,AT4G14940,AT1G45145,AT1G05560,AT1G04610,AT1G78850,AT3G46080,AT2G21045,AT5G42020,AT1G01720,AT1G18390,AT2G39770,AT2G22500,AT4G30080,AT3G23030,AT1G23710,AT5G56980,AT5G18480,AT2G26530,AT1G22190,AT5G40890
AT1G08010_Cluster_11	GO:0048583	0.00816475	0.0153267	3.3777	148	60	0.442546	6	AT3G05500,AT3G15210,AT4G12720,AT1G01720,AT3G62600,AT1G30650
AT1G08010_Cluster_11	GO:0048585	0.0107275	0.0188166	6.33319	148	16	0.622506	3	AT3G15210,AT1G01720,AT1G30650
AT1G08010_Cluster_11	GO:0050789	3.71476e-08	4.0094e-07	3.22254	148	283	0.23136	27	AT3G58120,AT3G05500,AT1G33280,AT5G48560,AT5G65810,AT2G20370,AT3G47710,AT3G51920,AT2G45400,AT3G62420,AT3G15210,AT5G06860,AT3G19580,AT4G12720,AT1G80370,AT3G18040,AT3G04080,AT2G33790,AT4G14940,AT3G46080,AT1G29160,AT1G01720,AT2G22770,AT2G40470,AT3G62600,AT1G30650,AT1G22190
AT1G08010_Cluster_11	GO:0050794	6.46982e-08	6.57096e-07	3.44957	148	235	0.256665	24	AT3G58120,AT1G33280,AT5G48560,AT5G65810,AT2G20370,AT3G51920,AT2G45400,AT3G62420,AT3G15210,AT5G06860,AT3G19580,AT4G12720,AT1G80370,AT3G18040,AT3G04080,AT4G14940,AT3G46080,AT1G29160,AT1G01720,AT2G22770,AT2G40470,AT3G62600,AT1G30650,AT1G22190
AT1G08010_Cluster_11	GO:0050896	2.90666e-18	2.89803e-16	3.63858	148	492	0.156063	53	AT3G05500,AT1G08930,AT2G15490,AT3G16460,AT5G48560,AT3G60520,AT4G02330,AT5G65810,AT2G20370,AT4G37590,AT5G44070,AT1G17060,AT3G47710,AT3G51920,AT3G16450,AT2G45400,AT3G62420,AT3G15210,AT4G20000,AT5G06860,AT2G35930,AT1G16150,AT3G19580,AT2G26710,AT3G52800,AT4G12720,AT2G38120,AT3G18040,AT3G04080,AT4G14940,AT1G45145,AT1G05560,AT1G04610,AT1G78850,AT3G46080,AT2G21045,AT5G42020,AT5G15130,AT1G01720,AT1G18390,AT2G39770,AT2G22500,AT4G30080,AT3G62600,AT3G23030,AT1G30650,AT1G23710,AT2G15480,AT5G56980,AT5G18480,AT2G26530,AT1G22190,AT5G40890
AT1G08010_Cluster_11	GO:0051716	1.4442e-07	1.36619e-06	3.86023	148	175	0.296803	20	AT3G60520,AT2G20370,AT5G44070,AT3G51920,AT3G62420,AT3G15210,AT5G06860,AT3G52800,AT4G12720,AT3G18040,AT3G04080,AT4G14940,AT1G78850,AT3G46080,AT5G42020,AT1G01720,AT1G18390,AT2G22500,AT3G62600,AT1G23710
AT1G08010_Cluster_11	GO:0065007	7.86993e-11	1.62066e-09	3.51622	148	317	0.215913	33	AT3G58120,AT3G05500,AT1G33280,AT5G48560,AT5G65810,AT2G20370,AT1G17060,AT3G47710,AT3G51920,AT2G45400,AT3G62420,AT3G15210,AT5G06860,AT3G19580,AT2G26710,AT4G12720,AT1G80370,AT2G38120,AT3G18040,AT3G04080,AT2G33790,AT4G14940,AT1G04610,AT3G46080,AT1G29160,AT1G01720,AT2G22770,AT1G50430,AT2G40470,AT3G62600,AT1G80830,AT1G30650,AT1G22190
AT1G08010_Cluster_11	GO:0070482	1.71126e-06	1.25054e-05	7.59983	148	40	0.497751	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0070887	7.57425e-05	0.000339443	3.48493	148	126	0.341529	13	AT3G60520,AT2G20370,AT3G15210,AT3G52800,AT4G12720,AT3G18040,AT4G14940,AT1G78850,AT3G46080,AT1G01720,AT1G18390,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0071310	0.0215857	0.0325061	2.73868	148	74	0.413992	6	AT2G20370,AT3G15210,AT3G18040,AT4G14940,AT1G01720,AT1G18390
AT1G08010_Cluster_11	GO:0071396	0.0119874	0.0205907	3.5933	148	47	0.475794	5	AT3G15210,AT3G18040,AT4G14940,AT1G01720,AT1G18390
AT1G08010_Cluster_11	GO:0071453	1.36023e-06	1.02068e-05	7.7947	148	39	0.501198	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0071456	1.07316e-06	8.26204e-06	7.99982	148	38	0.504734	9	AT3G60520,AT3G15210,AT3G52800,AT4G12720,AT1G78850,AT3G46080,AT1G01720,AT2G22500,AT1G23710
AT1G08010_Cluster_11	GO:0097305	0.00471189	0.00986358	3.33013	148	71	0.419627	7	AT1G08930,AT3G51920,AT3G15210,AT3G19580,AT3G18040,AT1G01720,AT1G18390
AT1G08010_Cluster_11	GO:1901700	7.73054e-08	7.72287e-07	3.67869	148	202	0.277267	22	AT3G05500,AT1G08930,AT4G02330,AT2G20370,AT5G44070,AT3G51920,AT3G15210,AT2G35930,AT3G19580,AT2G26710,AT3G52800,AT4G12720,AT3G18040,AT4G14940,AT1G05560,AT3G46080,AT1G01720,AT1G18390,AT2G39770,AT5G56980,AT1G22190,AT5G40890
AT1G08010_Cluster_11	GO:1901701	0.0111044	0.0193729	3.1666	148	64	0.433759	6	AT2G20370,AT3G15210,AT3G18040,AT4G14940,AT1G01720,AT1G18390
AT1G08010_Cluster_11	GO:0065008	0.00339937	0.00763503	3.52894	148	67	0.427522	7	AT1G17060,AT2G45400,AT2G26710,AT2G38120,AT1G04610,AT1G50430,AT1G80830
AT1G08010_Cluster_11	GO:0006810	0.000375275	0.00132421	3.63194	148	93	0.382876	10	AT5G42420,AT5G44070,AT1G76340,AT2G38120,AT3G13320,AT2G22500,AT1G80830,AT3G55740,AT5G40890,AT4G14455
AT1G08010_Cluster_11	GO:0010035	5.09498e-07	4.19857e-06	4.131	148	139	0.32816	17	AT3G05500,AT1G08930,AT5G44070,AT3G51920,AT3G16450,AT2G35930,AT1G16150,AT3G19580,AT4G12720,AT1G45145,AT1G78850,AT5G42020,AT1G18390,AT2G39770,AT2G26530,AT1G22190,AT5G40890
AT1G08010_Cluster_11	GO:0010038	0.0203158	0.0309478	2.77619	148	73	0.415844	6	AT5G44070,AT3G16450,AT1G16150,AT1G45145,AT5G42020,AT2G26530
